Customer_ID,Age,Gender,City,Purchase_Amount,Segment,Signup_Date
CUST10075,32,female,Bangalore,34493,Premium,08-01-24
CUST10076,25,female,Hyderabad,11056,Premium,08-23-25
CUST10077,31,Female,Bangalore,30763,Regular,11-30-24
CUST10078,40,Female,Hyderabad,6178,Regular,01-03-25
CUST10079,57,Male,,29731,Regular,08-06-25
CUST10080,38,Female,Mumbai,,VIP,11-07-25
CUST10081,33,Male,Hyderabad,41791,VIP,02-18-24
CUST10082,62,female,,4061,Regular,02-21-24
CUST10083,35,Male,Mumbai,29377,Premium,10-15-24
CUST10084,64,Female,Chennai,41674,Regular,09-17-25
CUST10085,41,,Hyderabad,31517,VIP,08-26-24
CUST10086,43,male,Hyderabad,22584,Premium,05-12-24
CUST10087,42,Male,Chennai,18203,VIP,06-14-24
CUST10088,62,Male,Chennai,29445,Premium,01-08-25
CUST10089,58,Male,Hyderabad,46426,VIP,01-07-25
CUST10090,46,male,Chennai,39554,Premium,04-22-25
CUST10091,32,Male,Bangalore,1687,Premium,04-23-25
CUST10092,62,Female,Mumbai,42671,Premium,10-11-25
CUST10093,18,,Mumbai,21131,Premium,08-13-25
CUST10094,42,Male,Mumbai,26312,,11-12-25
CUST10095,24,female,Bangalore,10450,VIP,09-26-25
CUST10096,26,,Chennai,18916,VIP,11-18-25
CUST10097,41,Male,,20388,,10-26-24
CUST10098,18,female,Chennai,29532,Premium,03-22-24
CUST10099,61,Female,Hyderabad,44322,Premium,03-27-24
CUST10100,25,,Mumbai,48717,VIP,08-12-24
CUST10101,41,Female,Chennai,6937,,01-16-24
CUST10102,28,male,,34317,Premium,12-23-24
CUST10103,34,Female,Hyderabad,20984,Premium,06-11-24
CUST10104,25,female,Bangalore,5554,Premium,09-01-25
CUST10105,52,male,Bangalore,9524,Regular,10-29-25
CUST10106,52,Female,,36985,,05-28-25
CUST10107,50,female,Hyderabad,41737,Premium,12-15-24
CUST10108,22,Male,Mumbai,43718,Regular,11-11-25
CUST10109,59,Male,Chennai,18512,,04-08-25
CUST10110,,Male,Hyderabad,47211,Premium,01-09-25
CUST10111,58,Female,Bangalore,39713,VIP,04-01-24
CUST10112,45,Male,,20242,Regular,06-29-24
CUST10113,24,,,37492,Regular,10-27-24
CUST10114,26,Male,Chennai,8948,Premium,10-21-25
CUST10115,25,male,,49417,Premium,07-07-24
CUST10116,29,Male,,13236,Regular,11-09-24
CUST10117,51,female,Hyderabad,689,VIP,05-07-25
CUST10118,50,,Mumbai,21008,VIP,05-07-24
CUST10119,40,Female,Chennai,6609,,06-02-25
CUST10120,41,female,Hyderabad,,Premium,03-01-25
CUST10121,54,Male,Mumbai,42322,VIP,07-12-25
CUST10122,52,female,Hyderabad,49323,,07-18-25
CUST10123,61,Male,Hyderabad,44576,VIP,07-05-24
CUST10124,57,,,45810,Premium,07-03-25
CUST10125,39,Male,Mumbai,49520,,03-28-25
CUST10126,44,Female,Chennai,10068,,04-15-25
CUST10127,52,female,Chennai,2562,,07-18-25
CUST10128,18,Male,Mumbai,9560,VIP,08-11-24
CUST10129,52,Male,,33883,Premium,06-02-24
CUST10130,54,Male,Bangalore,9375,,07-13-25
CUST10131,64,Female,Hyderabad,28777,Regular,12-16-24
CUST10132,31,Female,,13369,Premium,05-26-24
CUST10133,20,Male,Mumbai,506,Regular,07-29-25
CUST10134,18,Female,Hyderabad,7484,Regular,12-14-24
CUST10135,22,Male,Chennai,22653,,06-30-24
CUST10136,43,female,Bangalore,24466,,09-28-25
CUST10137,31,Male,Chennai,44136,VIP,06-27-24
CUST10138,56,Male,Mumbai,17469,VIP,02-08-24
CUST10139,44,Male,Hyderabad,11895,VIP,01-03-24
CUST10140,26,Female,Mumbai,4585,Premium,03-04-24
CUST10141,32,female,Hyderabad,41769,VIP,01-29-24
CUST10142,32,Female,,2718,Regular,01-06-25
CUST10143,43,Male,Bangalore,30243,VIP,06-06-25
CUST10144,59,female,,29525,,04-06-24
CUST10145,30,female,,22773,VIP,03-17-25
CUST10146,49,Male,Mumbai,9703,Premium,07-21-24
CUST10147,56,female,Bangalore,39796,Premium,02-14-25
CUST10148,49,,Hyderabad,5468,Regular,01-21-24
CUST10149,21,Male,Hyderabad,4721,Premium,07-04-25
CUST10150,47,female,Chennai,14819,VIP,04-11-24
CUST10151,54,male,Hyderabad,29327,,02-15-24
CUST10152,40,Female,Mumbai,43994,Premium,03-06-24
CUST10153,56,Male,,7666,Regular,08-25-25
CUST10154,62,Male,,12406,VIP,06-12-24
CUST10155,32,female,,24142,Regular,04-20-24
CUST10156,60,,Bangalore,15186,Premium,12-03-24
CUST10157,46,male,Hyderabad,17487,Premium,05-02-24
CUST10158,53,Female,Mumbai,27142,Regular,03-22-25
CUST10159,30,male,Bangalore,23988,VIP,09-02-25
CUST10160,49,Female,Chennai,,Premium,10-17-24
CUST10161,24,Female,Mumbai,18423,,11-01-25
CUST10162,39,Male,Mumbai,18119,Premium,02-15-25
CUST10163,45,female,Mumbai,9990,VIP,09-06-25
CUST10164,19,Female,,40963,Premium,10-07-24
CUST10165,,female,Mumbai,45587,Regular,02-12-24
CUST10166,62,Male,Hyderabad,10383,Premium,04-30-25
CUST10167,23,Male,Mumbai,18379,Premium,08-18-25
CUST10168,45,Male,,47099,VIP,02-20-24
CUST10169,45,Female,Mumbai,23008,Regular,07-28-24
CUST10170,61,,Chennai,47566,VIP,05-05-24
CUST10171,61,Male,Chennai,38052,Premium,05-06-25
CUST10172,37,female,,35270,,05-23-25
CUST10173,47,Female,Hyderabad,37763,Premium,08-03-25
CUST10174,28,female,Hyderabad,44272,VIP,09-14-24
CUST10175,45,Male,Bangalore,48029,,07-06-24
CUST10176,42,female,,9443,VIP,08-17-24
CUST10177,56,female,Mumbai,10737,VIP,07-07-24
CUST10178,50,Male,,34824,Regular,02-18-25
CUST10179,18,Male,Bangalore,39891,,01-10-24
CUST10180,44,female,,29234,Premium,04-23-24
CUST10181,30,,,46930,VIP,03-16-24
CUST10182,58,Male,Bangalore,47201,Premium,11-06-25
CUST10183,20,male,Hyderabad,4007,Regular,05-16-25
CUST10184,56,,Mumbai,33675,Regular,03-25-24
CUST10185,23,female,Bangalore,46899,,02-18-24
CUST10186,25,,Chennai,4927,Regular,05-09-25
CUST10187,44,female,Hyderabad,30707,Regular,11-19-25
CUST10188,26,Female,Chennai,13799,Premium,01-21-25
CUST10189,54,Female,Hyderabad,37392,Regular,01-23-25
CUST10190,50,Female,Mumbai,48061,Regular,08-05-24
CUST10191,59,male,Mumbai,25983,VIP,12-11-24
CUST10192,61,male,,49091,Regular,08-17-24
CUST10193,41,Male,Chennai,5413,VIP,09-11-24
CUST10194,32,female,Hyderabad,13698,Regular,08-23-24
CUST10195,49,male,Mumbai,45926,Regular,01-26-24
CUST10196,49,Female,Bangalore,28907,,08-06-25
CUST10197,41,Female,Mumbai,4987,,09-17-24
CUST10198,58,Female,Bangalore,3954,VIP,09-27-24
CUST10199,29,Male,Hyderabad,45326,Regular,05-02-24
CUST10200,56,Male,Mumbai,,Premium,10-17-25
CUST10201,19,Male,Mumbai,3658,,09-13-24
CUST10202,20,Male,Hyderabad,9872,Premium,10-17-25
CUST10203,54,Female,Mumbai,36443,,02-24-25
CUST10204,34,Female,Bangalore,35286,,09-15-24
CUST10205,19,Male,Mumbai,37066,Regular,02-16-24
CUST10206,19,female,Chennai,33869,,06-08-25
CUST10207,45,Male,,39987,Premium,07-26-24
CUST10208,40,,Bangalore,19329,,11-06-24
CUST10209,54,,Chennai,9773,VIP,05-28-24
CUST10210,49,Male,Hyderabad,27977,Regular,03-13-25
CUST10211,50,Female,Bangalore,31701,Regular,06-03-24
CUST10212,18,Male,,38184,VIP,11-08-25
CUST10213,36,Female,,16344,VIP,03-30-24
CUST10214,19,male,Hyderabad,27456,VIP,11-28-25
CUST10215,61,Male,Hyderabad,16906,,12-23-24
CUST10216,43,Female,Bangalore,23199,Regular,06-22-24
CUST10217,49,Male,Mumbai,44741,VIP,08-04-24
CUST10218,23,Male,Hyderabad,37134,,03-31-25
CUST10219,49,male,Mumbai,40417,VIP,08-31-25
CUST10220,,Female,Chennai,19194,Premium,09-20-25
CUST10221,28,Female,,10689,Premium,07-17-24
CUST10222,34,Female,Mumbai,1757,Regular,04-30-25
CUST10223,55,,,32864,,06-16-25
CUST10224,41,Male,Mumbai,39631,Premium,07-18-24
CUST10225,22,Female,Chennai,3264,Premium,01-05-25
CUST10226,51,male,Hyderabad,27642,,03-23-25
CUST10227,23,Female,Chennai,18537,VIP,09-04-24
CUST10228,39,,Hyderabad,41347,,09-20-24
CUST10229,28,male,Hyderabad,38605,VIP,02-27-24
CUST10230,33,male,,19701,Premium,10-28-24
CUST10231,50,female,Chennai,28530,Premium,01-31-24
CUST10232,26,,Mumbai,6109,Premium,05-12-25
CUST10233,23,,Chennai,49859,Regular,09-05-24
CUST10234,33,male,,4652,Regular,08-27-25
CUST10235,46,male,Hyderabad,9517,Regular,09-27-24
CUST10236,20,Male,,42089,,08-28-25
CUST10237,37,Male,Bangalore,2771,Premium,10-27-25
CUST10238,53,Female,Bangalore,6619,Premium,01-28-25
CUST10239,36,Male,Mumbai,36830,,05-16-25
CUST10240,43,Female,,,Regular,08-14-25
CUST10241,20,Male,Mumbai,45990,,03-24-24
CUST10242,36,Female,Mumbai,3822,Regular,12-30-24
CUST10243,37,female,Bangalore,5006,Premium,07-02-25
CUST10244,49,,Mumbai,30196,VIP,12-07-24
CUST10245,24,Male,Bangalore,40131,Regular,02-10-25
CUST10246,58,Female,Hyderabad,13799,Premium,02-28-25
CUST10247,50,female,,21538,Premium,04-02-24
CUST10248,57,Male,Mumbai,43956,VIP,09-05-25
CUST10249,56,female,Bangalore,33676,Premium,02-15-25
CUST10250,35,Female,Chennai,42038,Premium,03-07-25
CUST10251,57,Female,Mumbai,49128,Regular,11-08-25
CUST10252,18,,Hyderabad,49977,Regular,06-07-24
CUST10253,28,Male,Hyderabad,32347,VIP,01-14-24
CUST10254,45,male,Chennai,43561,VIP,01-07-25
CUST10255,42,female,Bangalore,28038,Premium,08-12-24
CUST10256,40,Male,Mumbai,40569,Regular,05-19-25
CUST10257,48,male,Bangalore,17700,VIP,03-13-24
CUST10258,47,,Hyderabad,20535,VIP,09-05-24
CUST10259,59,Male,Bangalore,18681,,05-25-25
CUST10260,52,female,Hyderabad,14291,VIP,08-25-25
CUST10261,24,Female,Bangalore,19290,Premium,08-03-24
CUST10262,33,male,Chennai,27486,Regular,08-24-25
CUST10263,43,male,,31821,VIP,06-24-25
CUST10264,19,Male,Chennai,13804,,08-07-24
CUST10265,18,,Chennai,2223,Regular,08-08-24
CUST10266,29,,,25274,VIP,01-23-25
CUST10267,22,male,,44401,,07-07-25
CUST10268,54,female,Mumbai,49476,VIP,10-08-25
CUST10269,49,male,Mumbai,47316,Regular,02-11-24
CUST10270,26,Female,Chennai,14686,Regular,11-06-25
CUST10271,58,male,Chennai,32076,Regular,10-09-24
CUST10272,52,Female,Hyderabad,25516,Premium,02-27-24
CUST10273,36,Female,Hyderabad,1914,VIP,06-20-25
CUST10274,33,female,Mumbai,13101,Premium,03-13-24
CUST10275,,Female,Mumbai,16608,Regular,05-08-24
CUST10276,37,Male,Hyderabad,19730,,08-21-25
CUST10277,41,Male,Hyderabad,13480,VIP,03-01-25
CUST10278,50,Female,Bangalore,48274,Premium,10-26-25
CUST10279,41,male,Bangalore,35799,VIP,11-24-25
CUST10280,28,Female,Hyderabad,,,05-04-24
CUST10281,25,male,Bangalore,46906,Premium,03-07-24
CUST10282,53,Female,,12417,Regular,01-06-24
CUST10283,55,male,Mumbai,35839,Premium,09-28-25
CUST10284,57,Female,Mumbai,34885,VIP,11-09-24
CUST10285,37,Female,Hyderabad,32080,VIP,11-21-24
CUST10286,52,male,Chennai,23899,VIP,07-18-25
CUST10287,42,female,Hyderabad,35283,VIP,07-31-25
CUST10288,52,Female,Bangalore,29266,Regular,05-20-25
CUST10289,42,Male,Chennai,19580,Premium,03-22-24
CUST10290,46,Male,Bangalore,1709,Regular,08-21-25
CUST10291,35,Male,,817,Regular,01-02-24
CUST10292,63,male,Bangalore,20045,Regular,07-22-24
CUST10293,35,Female,,25692,VIP,10-23-25
CUST10294,19,Female,,28241,VIP,02-07-25
CUST10295,52,Female,Bangalore,30109,VIP,04-12-24
CUST10296,33,Male,Bangalore,45530,Premium,06-19-25
CUST10297,58,Female,,6882,,01-02-25
CUST10298,53,Male,Chennai,26636,VIP,07-30-24
CUST10299,50,Female,,33916,Premium,07-30-25
CUST10300,21,Male,Mumbai,26033,VIP,07-27-24
CUST10301,50,female,,11718,VIP,04-26-24
CUST10302,31,Male,Chennai,8407,Regular,09-19-25
CUST10303,38,,Mumbai,26771,Regular,04-22-25
CUST10304,37,Female,Hyderabad,40773,Regular,04-14-24
CUST10305,25,female,Hyderabad,42861,Premium,05-09-25
CUST10306,24,male,Chennai,10438,,02-15-24
CUST10307,20,male,,38446,,11-26-24
CUST10308,34,female,Bangalore,46702,Premium,08-03-24
CUST10309,50,Female,Chennai,6648,VIP,05-06-25
CUST10310,29,Female,Mumbai,40249,Premium,03-24-25
CUST10311,39,Female,Mumbai,21264,VIP,06-19-25
CUST10312,39,Female,Hyderabad,27626,Premium,05-25-25
CUST10313,63,Male,Mumbai,31322,Premium,04-02-25
CUST10314,47,Female,Chennai,20276,Premium,06-30-25
CUST10315,55,male,Mumbai,3041,,06-19-25
CUST10316,55,Female,Chennai,5795,Regular,06-23-25
CUST10317,62,female,Bangalore,39269,Premium,04-28-25
CUST10318,25,male,Hyderabad,48047,,01-16-24
CUST10319,44,,Mumbai,47324,Regular,07-24-25
CUST10320,44,Male,Chennai,,Regular,08-30-24
CUST10321,51,Female,,25653,Premium,07-25-24
CUST10322,38,Female,Hyderabad,39065,VIP,09-27-24
CUST10323,47,Female,Bangalore,38318,VIP,04-24-24
CUST10324,50,female,Chennai,25459,VIP,08-02-25
CUST10325,45,Male,Bangalore,24916,Premium,10-25-24
CUST10326,64,female,Bangalore,8478,VIP,04-27-25
CUST10327,50,Female,Mumbai,1981,,01-31-25
CUST10328,22,male,Mumbai,39667,,01-28-25
CUST10329,36,male,Chennai,47465,,03-15-24
CUST10330,,Female,,13775,,04-26-25
CUST10331,52,Female,Chennai,4686,Regular,04-12-24
CUST10332,34,Female,,25106,,10-23-24
CUST10333,61,Male,Bangalore,41298,VIP,06-26-24
CUST10334,45,Female,Hyderabad,22931,Premium,08-02-24
CUST10335,47,Male,Chennai,35213,VIP,11-10-24
CUST10336,46,Female,Chennai,16559,,02-08-24
CUST10337,63,Female,,32543,Regular,09-15-24
CUST10338,23,Female,Bangalore,42416,,01-07-24
CUST10339,52,male,Bangalore,30695,Premium,02-18-24
CUST10340,58,Male,,5977,VIP,06-21-25
CUST10341,54,male,Bangalore,39653,Premium,06-09-24
CUST10342,41,Female,Mumbai,48701,Premium,06-24-24
CUST10343,46,Female,Hyderabad,5022,Premium,08-13-25
CUST10344,63,female,Chennai,4786,VIP,01-02-24
CUST10345,48,Male,Hyderabad,32866,,03-30-25
CUST10346,52,Female,Chennai,14507,Premium,10-05-25
CUST10347,50,Female,Mumbai,32106,VIP,10-02-24
CUST10348,38,Female,Bangalore,31522,Regular,05-12-25
CUST10349,49,Male,,12305,VIP,09-20-25
CUST10350,40,Male,Mumbai,21154,Regular,11-06-25
CUST10351,50,female,Hyderabad,23627,VIP,01-28-24
CUST10352,20,Female,,46047,,11-28-24
CUST10353,35,Female,Bangalore,18543,Premium,01-01-24
CUST10354,42,Female,Mumbai,16624,,07-06-24
CUST10355,59,male,,28302,VIP,02-25-24
CUST10356,48,Male,Mumbai,116,Premium,06-30-25
CUST10357,20,Female,Mumbai,46242,Regular,04-21-24
CUST10358,57,Female,Bangalore,16948,VIP,11-05-24
CUST10359,63,,Chennai,20955,Premium,02-05-24
CUST10360,41,Male,,,Regular,03-14-25
CUST10361,49,Female,Bangalore,25195,Regular,08-14-25
CUST10362,64,Female,Mumbai,38824,,08-17-25
CUST10363,39,male,Bangalore,49341,VIP,07-30-25
CUST10364,40,Female,Chennai,37683,Regular,11-20-24
CUST10365,19,Female,,2943,Premium,10-01-25
CUST10366,44,female,Chennai,29401,Regular,11-02-24
CUST10367,59,male,Hyderabad,26560,Regular,06-17-25
CUST10368,19,Female,,32018,,09-10-25
CUST10369,43,female,Chennai,28847,,04-18-24
CUST10370,34,Female,Mumbai,16072,Premium,01-06-25
CUST10371,57,Female,,28410,,12-22-24
CUST10372,50,Male,,23027,Regular,06-29-24
CUST10373,26,,Bangalore,1194,Regular,12-21-24
CUST10374,60,Male,Mumbai,38992,,11-06-25
CUST10375,56,Male,Hyderabad,34272,Regular,03-08-24
CUST10376,46,Male,Chennai,23424,Regular,10-18-24
CUST10377,59,male,Bangalore,20774,Premium,11-22-25
CUST10378,43,Male,Chennai,4082,,06-29-24
CUST10379,52,Male,Hyderabad,45383,Regular,04-10-25
CUST10380,42,Male,Hyderabad,15890,,03-09-25
CUST10381,41,Male,,12305,Premium,04-08-25
CUST10382,30,Female,Hyderabad,24438,,11-11-25
CUST10383,24,male,Chennai,12848,Regular,06-17-25
CUST10384,53,Female,Mumbai,21197,,03-06-24
CUST10385,,Female,Mumbai,3192,Regular,01-21-24
CUST10386,37,male,,22792,Regular,09-03-25
CUST10387,18,Male,Chennai,23962,Regular,01-18-25
CUST10388,25,Female,Chennai,24960,Premium,09-06-25
CUST10389,63,,Hyderabad,14071,,07-12-25
CUST10390,33,Female,Chennai,14716,Premium,02-08-24
CUST10391,31,Male,Bangalore,5033,,10-11-24
CUST10392,29,Female,Hyderabad,5026,Premium,08-24-25
CUST10393,40,Female,Bangalore,25863,VIP,08-19-25
CUST10394,32,Female,,4069,Regular,12-01-24
CUST10395,45,Male,Mumbai,35833,Regular,07-06-24
CUST10396,51,Male,,4419,Premium,11-01-25
CUST10397,19,Male,Mumbai,41843,VIP,08-30-24
CUST10398,49,,,39976,Regular,03-13-24
CUST10399,40,male,Chennai,42009,,04-23-25
CUST10400,39,Male,Bangalore,,Premium,07-14-25
CUST10401,42,Male,Mumbai,16528,Regular,04-10-24
CUST10402,39,male,Hyderabad,34678,Regular,05-28-25
CUST10403,39,Male,Bangalore,21050,Premium,06-24-24
CUST10404,59,Male,Hyderabad,43141,Premium,08-25-24
CUST10405,23,,Bangalore,41889,,02-28-24
CUST10406,32,Male,Bangalore,18393,,04-08-24
CUST10407,60,male,,6464,Regular,05-09-25
CUST10408,54,,Mumbai,35449,Regular,05-28-25
CUST10409,50,Female,Mumbai,791,Premium,10-23-24
CUST10410,25,Male,Bangalore,30162,Regular,07-29-24
CUST10411,61,Male,Chennai,1031,Regular,05-02-24
CUST10412,61,female,Chennai,45996,Premium,08-16-24
CUST10413,22,female,Hyderabad,31830,Regular,08-16-25
CUST10414,56,female,Hyderabad,14326,Regular,10-17-25
CUST10415,21,Male,,13961,VIP,01-22-25
CUST10416,23,female,Bangalore,31401,,05-19-24
CUST10417,62,,Hyderabad,48343,Premium,06-24-25
CUST10418,49,male,Hyderabad,22866,VIP,01-25-25
CUST10419,47,,Bangalore,36274,,09-26-24
CUST10420,64,female,,41207,,01-12-24
CUST10421,52,male,Hyderabad,17795,,01-23-25
CUST10422,57,Female,,41447,VIP,12-02-24
CUST10423,33,Female,Mumbai,3221,VIP,05-20-25
CUST10424,30,Male,,18357,,04-15-24
CUST10425,59,male,Chennai,28264,Regular,02-01-24
CUST10426,47,Female,Chennai,25591,Regular,03-14-24
CUST10427,36,female,,23265,VIP,06-19-24
CUST10428,34,,Chennai,48814,VIP,03-09-24
CUST10429,36,female,Mumbai,3848,VIP,12-27-24
CUST10430,45,Male,Bangalore,33145,,10-10-25
CUST10431,43,Male,Chennai,26653,Regular,03-08-25
CUST10432,54,Male,Chennai,44431,VIP,04-09-24
CUST10433,43,male,,30597,VIP,10-19-25
CUST10434,40,female,Mumbai,31408,Premium,01-09-24
CUST10435,26,,Bangalore,39660,,07-27-25
CUST10436,29,Female,,46786,Premium,11-27-25
CUST10437,18,,,10474,Regular,01-29-24
CUST10438,18,female,Mumbai,4775,Premium,04-23-24
CUST10439,64,Female,Bangalore,1270,Premium,04-06-25
CUST10440,,female,Mumbai,,Premium,05-22-24
CUST10441,49,Female,Bangalore,43585,,01-24-25
CUST10442,42,Male,Mumbai,12550,Regular,09-23-25
CUST10443,57,male,,10780,Premium,11-12-25
CUST10444,62,Female,,10168,,06-05-24
CUST10445,18,male,Hyderabad,35330,Regular,11-30-24
CUST10446,33,male,Chennai,46518,VIP,09-16-24
CUST10447,56,Female,Mumbai,26306,Premium,03-22-24
CUST10448,22,Female,Hyderabad,387,Regular,03-16-25
CUST10449,39,Female,Chennai,22437,Premium,06-20-24
CUST10450,46,Female,Mumbai,20766,VIP,08-18-24
CUST10451,20,Female,Bangalore,1261,Regular,03-15-24
CUST10452,29,Female,Chennai,49381,,09-26-24
CUST10453,43,Male,,35231,Regular,09-17-25
CUST10454,33,Female,Hyderabad,24635,,03-02-24
CUST10455,54,Male,Chennai,32628,Regular,11-15-24
CUST10456,39,male,Chennai,38851,,04-11-24
CUST10457,46,female,,16627,VIP,03-04-25
CUST10458,31,Female,Mumbai,41075,VIP,09-11-24
CUST10459,45,Female,Bangalore,23953,VIP,06-15-25
CUST10460,22,,,14858,Regular,07-23-25
CUST10461,64,female,Bangalore,344,VIP,04-21-24
CUST10462,47,,Mumbai,3278,Premium,11-08-24
CUST10463,63,female,Chennai,31931,VIP,04-05-25
CUST10464,22,Male,Bangalore,2276,,04-06-25
CUST10465,29,Male,Hyderabad,37870,,04-01-24
CUST10466,33,Female,Hyderabad,33754,,02-21-24
CUST10467,43,Male,,26727,Regular,06-03-25
CUST10468,43,Female,Mumbai,46589,Premium,04-07-24
CUST10469,38,Female,,45010,VIP,08-23-24
CUST10470,56,Female,,24981,Premium,01-08-25
CUST10471,53,male,,35522,Premium,08-03-25
CUST10472,50,male,Hyderabad,12084,,07-10-25
CUST10473,47,Female,Hyderabad,23876,,10-10-25
CUST10474,54,female,,17855,,08-21-24
CUST10475,40,Female,Hyderabad,7235,Regular,02-01-24
CUST10476,27,female,Mumbai,420,Premium,10-15-24
CUST10477,22,Male,,37522,Premium,09-29-25
CUST10478,53,,Hyderabad,28735,Regular,08-01-25
CUST10479,51,male,Bangalore,21784,Regular,06-25-25
CUST10480,48,Female,,,Regular,04-23-24
CUST10481,27,Male,,21989,Premium,07-22-24
CUST10482,36,Female,Mumbai,30413,Premium,01-29-24
CUST10483,49,Male,Chennai,32635,,10-04-25
CUST10484,18,Male,Chennai,48999,,04-18-25
CUST10485,22,male,Mumbai,10870,Premium,11-27-25
CUST10486,62,Female,Mumbai,39421,,09-09-24
CUST10487,21,male,Mumbai,20526,Regular,01-20-25
CUST10488,33,,Chennai,44427,VIP,03-02-24
CUST10489,41,Female,Mumbai,41877,,05-29-25
CUST10490,33,Female,Hyderabad,46350,Premium,03-05-25
CUST10491,19,Male,,7598,,08-02-25
CUST10492,45,male,,39504,,06-20-25
CUST10493,49,Female,Bangalore,40230,,11-21-25
CUST10494,44,,Bangalore,16495,VIP,05-20-24
CUST10495,,female,,49446,Regular,10-26-24
CUST10496,41,Female,Hyderabad,2637,Premium,11-05-25
CUST10497,29,Male,Chennai,19326,VIP,11-06-24
CUST10498,52,female,Chennai,15316,Premium,04-15-25
CUST10499,50,female,Hyderabad,18713,Premium,01-27-25
CUST10500,50,Male,Chennai,3109,Premium,10-03-25
CUST10501,60,Male,Mumbai,24468,VIP,03-20-25
